HITI,Highland Tinamou,Nothocercus bonapartei,NOTBON
CIHU,Cinnamon Hummingbird,Amazilia rutila,AMARUT
BBEH,Buff-bellied Hummingbird,Amazilia yucatanensis,AMAYUC
RTAH,Rufous-tailed Hummingbird,Amazilia tzacatl,AMATZA
HOEM,Honduran Emerald,Amazilia luciae,AMALUC
AMHU,Amazilia Hummingbird,Amazilis amazilia,AMZAMA,
MAHU,Mangrove Hummingbird,Chrysuronia boucardi,CHRBOU
SHTH,Sapphire-throated Hummingbird,Chrysuronia coeruleogularis,CHYCOE
HUSA,Humboldt's Sapphire,Chrysuronia humboldtii,CHRHUM
BCHH,Blue-chested Hummingbird,Polyerata amabilis,POLAMA
CHHU,Charming Hummingbird,Polyerata decora,POLDEC
WBEM,White-bellied Emerald,Chlorestes candida,CHLCAD,
BTRG,Blue-throated Goldentail,Chlorestes eliciae,CHLELI
VBHU,Violet-bellied Hummingbird,Chlorestes julie,CHLJUL
HYHU,Hybrid Hummingbird,Trochilidae hybrid,TROHYB
UNHU,Unidentified Hummingbird,"Trochilidae (gen, sp)",TRCGSP,
UNIC,Uniform Crake,Amaurolimnas concolor,AMLCON,
RNWR,Rufous-necked Wood-Rail,Aramides axillaris,ARAAXI
RSWR,Russet-naped Wood-Rail,Aramides albiventris,ARAALB
GCWR,Gray-cowled Wood-Rail,Aramides cajaneus,ARACAJ
RIRA,Ridgway's Rail,Rallus obsoletus,RALOBS
CRRA,California Ridgway's Rail,Rallus obsoletus obsoletus,RALOBO
LFRR,Light-footed Ridgway's Rail,Rallus obsoletus levipes,RALOBL
YRRA,Yuma Ridgway's Rail,Rallus obsoletus yumanensis,RALOBY
AZRA,Aztec Rail,Rallus tenuirostris,RALTEN
MARA,Mangrove Rail,Rallus longirostris,RALLON
KIRA,King Rail,Rallus elegans,RALELE
CLRA,Clapper Rail,Rallus crepitans,RALCRE
VIRA,Virginia Rail,Rallus limicola,RALLIM
WEWR,Western Water-Rail,Rallus aquaticus,RALAQU
CORC,Corn Crake,Crex crex,CRECRE
SORA,Sora,Porzana carolina,PORCAR
SPCR,Spotted Crake,Porzana porzana,PORPOZ,
COGA,Common Gallinule,Gallinula galeata,GALGAT,
HAGA,Hawaiian Gallinule,Gallinula galeata sandvicensis,GALGSA
COMO,Common Moorhen,Gallinula chloropus,GALCHL
EUCO,Eurasian Coot,Fulica atra,FULATR
HACO,Hawaiian Coot,Fulica alai,FULALA
AMCO,American Coot,Fulica americana,FULAME
PUGA,Purple Gallinule,Porphyrio martinicus,PORMAR
AZGA,Azure Gallinule,Porphyrio flavirostris,PORFLA
PUSW,Purple Swamphen,Porphyrio porphyrio,PORPOP,
OCCR,Ocellated Crake,Rufirallus schomburgkii,RUFSCH
YERA,Yellow Rail,Coturnicops noveboracensis,COTNOV
YBCR,Yellow-breasted Crake,Hapalocrex flaviventer,HAPFLA
RUCR,Ruddy Crake,Laterallus ruber,LATRUB
WTCR,White-throated Crake,Laterallus albigularis,LATALB
GBCR,Gray-breasted Crake,Laterallus exilis,LATEXI
BLRA,Black Rail,Laterallus jamaicensis,LATJAM
EBRA,Eastern Black Rail,Laterallus jamaicensis jamaicensis,LATJAJ
CBRA,California Black Rail,Laterallus jamaicensis coturniculus,LATJA
LARA,Laysan Rail,Zapornia palmeri,ZAPPA
HARA,Hawaiian Rail,Zapornia sandwichensis,ZAPSA
SUNG,Sungrebe,Heliornis fulica,HELFU
LIMP,Limpkin,Aramus guarauna,ARAGU
SACR,Sandhill Crane,Antigone canadensis,ANTCA
MSCR,Mississippi Sandhill Crane,Antigone canadensis pulla,ANTCA
CCRA,Common Crane,Grus grus,GRUGR
HOCR,Hooded Crane,Grus monacha,GRUMO
WHCR,Whooping Crane,Grus americana,GRUAM
DSTK,Double-striped Thick-knee,Hesperoburhinus bistriatus,HESBI
BWST,Black-winged Stilt,Himantopus himantopus,HIMHI
BNST,Black-necked Stilt,Himantopus mexicanus,HIMME
HAST,Hawaiian Stilt,Himantopus mexicanus knudseni,HIMMK
AMAV,American Avocet,Recurvirostra americana,RECAM
EUOY,Eurasian Oystercatcher,Haematopus ostralegus,HAEOS
AMOY,American Oystercatcher,Haematopus palliatus,HAEPAL
BLOY,Black Oystercatcher,Haematopus bachmani,HAEBAC
BBPL,Black-bellied Plover,Pluvialis squatarola,PLUSQU
EUGP,European Golden-Plover,Pluvialis apricaria,PLUAPR
AMGP,American Golden-Plover,Pluvialis dominica,PLUDOM
LEGP,Lesser Golden-Plover,Pluvialis dominica/fulva,PLUDOF
PAGP,Pacific Golden-Plover,Pluvialis fulva,PLUFUL
EUDO,Eurasian Dotterel,Eudromias morinellus,EUDMOR
KILL,Killdeer,Charadrius vociferus,CHAVOC
CRPL,Common Ringed Plover,Charadrius hiaticula,CHAHIA
SEPL,Semipalmated Plover,Charadrius semipalmatus,CHASEM
PIPL,Piping Plover,Charadrius melodus,CHAMEL
LRPL,Little Ringed Plover,Charadrius dubius,CHADUB
NOLA,Northern Lapwing,Vanellus vanellus,VANVAN
SOLA,Southern Lapwing,Vanellus chilensis,VANCHI
SISP,Siberian Sand-Plover,Anarhynchus mongolus,ANAMOG,
GSAP,Greater Sand-Plover,Anarhynchus leschenaultii,ANALES
ORPL,Oriental Plover,Anarhynchus veredus,ANAVER
WIPL,Wilson's Plover,Anarhynchus wilsonia,ANAWIL
COPL,Collared Plover,Anarhynchus collaris,ANACOL
MOPL,Mountain Plover,Anarhynchus montanus,ANAMON,
SNPL,Snowy Plover,Anarhynchus nivosus,ANANIV
WSPL,Western Snowy Plover,Anarhynchus nivosus nivosus,ANANIN
NOJA,Northern Jacana,Jacana spinosa,JACSPI
WAJA,Wattled Jacana,Jacana jacana,JACJAC
UPSA,Upland Sandpiper,Bartramia longicauda,BARLON
BTCU,Bristle-thighed Curlew,Numenius tahitiensis,NUMTAH
WHIM,Whimbrel,Numenius phaeopus,NUMPHA
LICU,Little Curlew,Numenius minutus,NUMMIN
ESCU,Eskimo Curlew,Numenius borealis,NUMBOR
LBCU,Long-billed Curlew,Numenius americanus,NUMAME
FECU,Far Eastern Curlew,Numenius madagascariensis,NUMMAD
SBCU,Slender-billed Curlew,Numenius tenuirostris,NUMTE
EUCU,Eurasian Curlew,Numenius arquata,NUMAR
BTGO,Bar-tailed Godwit,Limosa lapponica,LIMLA
BLTG,Black-tailed Godwit,Limosa limosa,LIMLI
HUGO,Hudsonian Godwit,Limosa haemastica,LIMHA
MAGO,Marbled Godwit,Limosa fedoa,LIMFE
RUTU,Ruddy Turnstone,Arenaria interpres,AREIN
BLTU,Black Turnstone,Arenaria melanocephala,AREME
GRKN,Great Knot,Calidris tenuirostris,CALTE
REKN,Red Knot,Calidris canutus,CALCA
RRKN,Rufa Red Knot,Calidris canutus rufa,CALCA
SURF,Surfbird,Calidris virgata,CALVI
RUFF,Ruff,Calidris pugnax,CALPU
BBIS,Broad-billed Sandpiper,Calidris falcinellus,CALFA
SPTS,Sharp-tailed Sandpiper,Calidris acuminata,CALAC
STSA,Stilt Sandpiper,Calidris himantopus,CALHI
CUSA,Curlew Sandpiper,Calidris ferruginea,CALFER
TEST,Temminck's Stint,Calidris temminckii,CALTEM
LTST,Long-toed Stint,Calidris subminuta,CALSUM,
SBSA,Spoon-billed Sandpiper,Calidris pygmea,CALPYG
RNST,Red-necked Stint,Calidris ruficollis,CALRUF
SAND,Sanderling,Calidris alba,CALALB
DUNL,Dunlin,Calidris alpina,CALALP
ROSA,Rock Sandpiper,Calidris ptilocnemis,CALPTI
PUSA,Purple Sandpiper,Calidris maritima,CALMAR
BASA,Baird's Sandpiper,Calidris bairdii,CALBAI
LIST,Little Stint,Calidris minuta,CALMIA,
LESA,Least Sandpiper,Calidris minutilla,CALMIL,
WRSA,White-rumped Sandpiper,Calidris fuscicollis,CALFUS
BBSA,Buff-breasted Sandpiper,Calidris subruficollis,CALSUR,
PESA,Pectoral Sandpiper,Calidris melanotos,CALMET,
SESA,Semipalmated Sandpiper,Calidris pusilla,CALPUS
WESA,Western Sandpiper,Calidris mauri,CALMAU
SBDO,Short-billed Dowitcher,Limnodromus griseus,LIMGRI
LBDO,Long-billed Dowitcher,Limnodromus scolopaceus,LIMSCO
UNDO,Unidentified Dowitcher,Limnodromus sp.,LIMSPE
JASN,Jack Snipe,Lymnocryptes minimus,LYMMIN
EUWO,Eurasian Woodcock,Scolopax rusticola,SCORUS
AMWO,American Woodcock,Scolopax minor,SCOMIN
SOSN,Solitary Snipe,Gallinago solitaria,GALSOL
PTSN,Pin-tailed Snipe,Gallinago stenura,GALSTE
COSN,Common Snipe,Gallinago gallinago,GALGAN,
WISN,Wilson's Snipe,Gallinago delicata,GALDEL
TESA,Terek Sandpiper,Xenus cinereus,XENCIN
COSA,Common Sandpiper,Actitis hypoleucos,ACTHYP
SPSA,Spotted Sandpiper,Actitis macularius,ACTMAC
GRSA,Green Sandpiper,Tringa ochropus,TRIOCH
SOSA,Solitary Sandpiper,Tringa solitaria,TRISOL
GTTA,Gray-tailed Tattler,Tringa brevipes,TRIBR
WATA,Wandering Tattler,Tringa incana,TRIIN
LEYE,Lesser Yellowlegs,Tringa flavipes,TRIFL
WILL,Willet,Tringa semipalmata,TRISE
SPRE,Spotted Redshank,Tringa erythropus,TRIER
COMG,Common Greenshank,Tringa nebularia,TRINE
GRYE,Greater Yellowlegs,Tringa melanoleuca,TRIME
CREH,Common Redshank,Tringa totanus,TRITO
WOSA,Wood Sandpiper,Tringa glareola,TRIGL
MASA,Marsh Sandpiper,Tringa stagnatilis,TRIST
WIPH,Wilson's Phalarope,Phalaropus tricolor,PHATR
RNPH,Red-necked Phalarope,Phalaropus lobatus,PHALO
REPH,Red Phalarope,Phalaropus fulicarius,PHAFU
COPR,Collared Pratincole,Glareola pratincola,GLAPR
ORPR,Oriental Pratincole,Glareola maldivarum,GLAMA
GRSK,Great Skua,Stercorarius skua,STESK
SPSK,South Polar Skua,Stercorarius maccormicki,STEMAC
POJA,Pomarine Jaeger,Stercorarius pomarinus,STEPOM
PAJA,Parasitic Jaeger,Stercorarius parasiticus,STEPAS,
LTJA,Long-tailed Jaeger,Stercorarius longicaudus,STELON
DOVE,Dovekie,Alle alle,ALLALL
COMU,Common Murre,Uria aalge,URIAAL
TBMU,Thick-billed Murre,Uria lomvia,URILOM
RAZO,Razorbill,Alca torda,ALCTOR
GRAU,Great Auk,Pinguinus impennis,PINIMP
BLGU,Black Guillemot,Cepphus grylle,CEPGRY
PIGU,Pigeon Guillemot,Cepphus columba,CEPCOL
LBMU,Long-billed Murrelet,Brachyramphus perdix,BRAPER
MAMU,Marbled Murrelet,Brachyramphus marmoratus,BRAMAR
AMMU,Alaska Marbled Murrelet,Brachyramphus marmoratus,BRAMAA
KIMU,Kittlitz's Murrelet,Brachyramphus brevirostris,BRABRE
SCMU,Scripps's Murrelet,Synthliboramphus scrippsi,SYNSCR
GUMU,Guadalupe Murrelet,Synthliboramphus hypoleucus,SYNHY
CRMU,Craveri's Murrelet,Synthliboramphus craveri,SYNCR
ANMU,Ancient Murrelet,Synthliboramphus antiquus,SYNAN
CAAU,Cassin's Auklet,Ptychoramphus aleuticus,PTYAL
PAAU,Parakeet Auklet,Aethia psittacula,AETPS
LEAU,Least Auklet,Aethia pusilla,AETPU
WHAU,Whiskered Auklet,Aethia pygmaea,AETPY
CRAU,Crested Auklet,Aethia cristatella,AETCR
RHAU,Rhinoceros Auklet,Cerorhinca monocerata,CERMO
ATPU,Atlantic Puffin,Fratercula arctica,FRAAR
HOPU,Horned Puffin,Fratercula corniculata,FRACO
TUPU,Tufted Puffin,Fratercula cirrhata,FRACI
STGU,Swallow-tailed Gull,Creagrus furcatus,CREFU
BLKI,Black-legged Kittiwake,Rissa tridactyla,RISTR
RLKI,Red-legged Kittiwake,Rissa brevirostris,RISBR
IVGU,Ivory Gull,Pagophila eburnea,PAGEB
SAGU,Sabine's Gull,Xema sabini,XEMSAB
BOGU,Bonaparte's Gull,Chroicocephalus philadelphia,CHRPHI
GHGU,Gray-hooded Gull,Chroicocephalus cirrocephalus,CHRCIR
BHGU,Black-headed Gull,Chroicocephalus ridibundus,CHRRID
LIGU,Little Gull,Hydrocoloeus minutus,HYDMIN
ROGU,Ross's Gull,Rhodostethia rosea,RHSROS,
GRGU,Gray Gull,Leucophaeus modestus,LEUMOD
LAGU,Laughing Gull,Leucophaeus atricilla,LEUATC,
FRGU,Franklin's Gull,Leucophaeus pipixcan,LEUPIP
PAGU,Pallas's Gull,Ichthyaetus ichthyaetus,ICHICH
BEGU,Belcher's Gull,Larus belcheri,LARBEL
BTGU,Black-tailed Gull,Larus crassirostris,LARCRA
HEEG,Heermann's Gull,Larus heermanni,LARHEE
COGU,Common Gull,Larus canus,LARCAN
SBIG,Short-billed Gull,Larus brachyrhynchus,LARBRA
RBGU,Ring-billed Gull,Larus delawarensis,LARDEL
WEGU,Western Gull,Larus occidentalis,LAROCC
WGWH,Western X Glaucous-winged Gull Hybrid,Larus occidentalis x glaucescens,LAROCG
YFGU,Yellow-footed Gull,Larus livens,LARLIV
CAGU,California Gull,Larus californicus,LARCAL
HERG,Herring Gull,Larus argentatus,LARARG
YLGU,Yellow-legged Gull,Larus michahellis,LARMIC
ICGU,Iceland Gull,Larus glaucoides,LARGLD,
THGU,Thayer's Gull,Larus glaucoides thayeri,LARGTH
TKGU,Thayer's/Kumlien's Gull,Larus glaucoides thayeri/kumlieni,LARGTK
KUGU,Kumlien's Gull,Larus glaucoides kumlieni,LARGKU
LBBG,Lesser Black-backed Gull,Larus fuscus,LARFUS
SBAG,Slaty-backed Gull,Larus schistisagus,LARSCH
GWGU,Glaucous-winged Gull,Larus glaucescens,LARGLS,
GLGU,Glaucous Gull,Larus hyperboreus,LARHYP
GBBG,Great Black-backed Gull,Larus marinus,LARMAR
KEGU,Kelp Gull,Larus dominicanus,LARDOM
UNLG,Unidentified Larus Gull,Larus (sp),LARSP
BRNO,Brown Noddy,Anous stolidus,ANOST
BLNO,Black Noddy,Anous minutus,ANOMI
BGNO,Blue-gray Noddy,Anous ceruleus,ANOCE
WHTT,White Tern,Gygis alba,GYGAL
SOTE,Sooty Tern,Onychoprion fuscatus,ONYFU
GBAT,Gray-backed Tern,Onychoprion lunatus,ONYLU
BRTE,Bridled Tern,Onychoprion anaethetus,ONYAN
ALTE,Aleutian Tern,Onychoprion aleuticus,ONYAL
LITE,Little Tern,Sternula albifrons,STEAL
LETE,Least Tern,Sternula antillarum,STEAN
ILTE,Interior Least Tern,Sternula antillarum athalassos,STEAN
CLTE,California Least Tern,Sternula antillarum browni,STEAN
YBTE,Yellow-billed Tern,Sternula superciliaris,STESU
LBTE,Large-billed Tern,Phaetusa simplex,PHASI
GBTE,Gull-billed Tern,Gelochelidon nilotica,GELNI
CATE,Caspian Tern,Hydroprogne caspia,HYDCAP,
INTE,Inca Tern,Larosterna inca,LARINC
BLTE,Black Tern,Chlidonias niger,CHLNIG
WWTE,White-winged Tern,Chlidonias leucopterus,CHLLEU
WHST,Whiskered Tern,Chlidonias hybrida,CHLHYB
ROST,Roseate Tern,Sterna dougallii,STEDOU
COTE,Common Tern,Sterna hirundo,STEHIR
ARTE,Arctic Tern,Sterna paradisaea,STEPAD,
FOTE,Forster's Tern,Sterna forsteri,STEFOR
ROYT,Royal Tern,Thalasseus maximus,THAMAX
GCTE,Great Crested Tern,Thalasseus bergii,THABER
SATE,Sandwich Tern,Thalasseus sandvicensis,THASAN
CAYT,Cayenne Tern,Thalasseus sandvicensis eurygnathus,THASAE
ELTE,Elegant Tern,Thalasseus elegans,THAELE
BLSK,Black Skimmer,Rynchops niger,RYNNIG
SUNB,Sunbittern,Eurypyga helias,EURHEL
WTTR,White-tailed Tropicbird,Phaethon lepturus,PHALE
RBTR,Red-billed Tropicbird,Phaethon aethereus,PHAAE
RTTR,Red-tailed Tropicbird,Phaethon rubricauda,PHARU
RTLO,Red-throated Loon,Gavia stellata,GAVST
ARLO,Arctic Loon,Gavia arctica,GAVAR
PALO,Pacific Loon,Gavia pacifica,GAVPA
COLO,Common Loon,Gavia immer,GAVIM
YBLO,Yellow-billed Loon,Gavia adamsii,GAVAD
YNAL,Yellow-nosed Albatross,Thalassarche chlororhynchos,THACH
WCAL,White-capped Albatross,Thalassarche cauta,THACA
CHAL,Chatham Albatross,Thalassarche eremita,THAER
SAAL,Salvin's Albatross,Thalassarche salvini,THASA
BBAL,Black-browed Albatross,Thalassarche melanophris,THAME
LMAL,Light-mantled Albatross,Phoebetria palpebrata,PHOPA
WAAL,Wandering Albatross,Diomedea exulans,DIOEX
LAAL,Laysan Albatross,Phoebastria immutabilis,PHOIM
LBFH,Laysan X Black-foot. Albatross Hybrid,Phoebastria immutabilis x nigripes,PHOIMN
BFAL,Black-footed Albatross,Phoebastria nigripes,PHONIG
WAVA,Waved Albatross,Phoebastria irrorata,PHOIRR
STAL,Short-tailed Albatross,Phoebastria albatrus,PHOALB
WISP,Wilson's Storm-Petrel,Oceanites oceanicus,OCEOCE
WFSP,White-faced Storm-Petrel,Pelagodroma marina,PELMAR
BBSP,Black-bellied Storm-Petrel,Fregetta tropica,FRETRO
EUSP,European Storm-Petrel,Hydrobates pelagicus,HYDPEL
FTSP,Fork-tailed Storm-Petrel,Hydrobates furcatus,HYDFUR
RISP,Ringed Storm-Petrel,Hydrobates hornbyi,HYDHOR
SSTP,Swinhoe's Storm-Petrel,Hydrobates monorhis,HYDMON
LESP,Leach's Storm-Petrel,Hydrobates leucorhous,HYDLEU
TOSP,Townsend's Storm-Petrel,Hydrobates socorroensis,HYDSOC
AISP,Ainley's Storm-Petrel,Hydrobates cheimomnestes,HYDCHE
ASSP,Ashy Storm-Petrel,Hydrobates homochroa,HYDHOM
BSTP,Band-rumped Storm-Petrel,Hydrobates castro,HYDCAT,
WRSP,Wedge-rumped Storm-Petrel,Hydrobates tethys,HYDTET
BLSP,Black Storm-Petrel,Hydrobates melania,HYDMEL
GUSP,Guadalupe Storm-Petrel,Hydrobates macrodactylus,HYDMAD,
MASP,Markham's Storm-Petrel,Hydrobates markhami,HYDMAR
TRSP,Tristram's Storm-Petrel,Hydrobates tristrami,HYDTRI
LSTP,Least Storm-Petrel,Hydrobates microsoma,HYDMIC
NOGP,Northern Giant-Petrel,Macronectes halli,MACHAL
NOFU,Northern Fulmar,Fulmarus glacialis,FULGLA
GFPE,Gray-faced Petrel,Pterodroma gouldi,PTEGOU
PRPE,Providence Petrel,Pterodroma solandri,PTESOL
KEPE,Kermadec Petrel,Pterodroma neglecta,PTENEG
TRPE,Trindade Petrel,Pterodroma arminjoniana,PTEARM
HEPE,Herald Petrel,Pterodroma heraldica,PTEHER
MUPE,Murphy's Petrel,Pterodroma ultima,PTEULT
MOPE,Mottled Petrel,Pterodroma inexpectata,PTEINE
BEPE,Bermuda Petrel,Pterodroma cahow,PTECAH
JPET,Jamaican Petrel,Pterodroma caribbaea,PTECA
BCPE,Black-capped Petrel,Pterodroma hasitata,PTEHA
JFPE,Juan Fernandez Petrel,Pterodroma externa,PTEEX
GAPE,Galapagos Petrel,Pterodroma phaeopygia,PTEPH
HAPE,Hawaiian Petrel,Pterodroma sandwichensis,PTESA
WNPE,White-necked Petrel,Pterodroma cervicalis,PTECE
BOPE,Bonin Petrel,Pterodroma hypoleuca,PTEHY
BWPE,Black-winged Petrel,Pterodroma nigripennis,PTENI
FEPE,Fea's Petrel,Pterodroma feae,PTEFE
ZIPE,Zino's Petrel,Pterodroma madeira,PTEMA
COPE,Cook's Petrel,Pterodroma cookii,PTECO
STPE,Stejneger's Petrel,Pterodroma longirostris,PTELO
TAPE,Tahiti Petrel,Pseudobulweria rostrata,PSERO
BUPE,Bulwer's Petrel,Bulweria bulwerii,BULBU
JOPE,Jouanin's Petrel,Bulweria fallax,BULFA
WCPE,White-chinned Petrel,Procellaria aequinoctialis,PROAE
PAPE,Parkinson's Petrel,Procellaria parkinsoni,PROPA
STRS,Streaked Shearwater,Calonectris leucomelas,CALLE
SCSH,Scopoli's Shearwater,Calonectris diomedea,CALDI
CORS,Cory's Shearwater,Calonectris borealis,CALBO
CVSH,Cape Verde Shearwater,Calonectris edwardsii,CALED
WTSH,Wedge-tailed Shearwater,Ardenna pacifica,ARDPA
BULS,Buller's Shearwater,Ardenna bulleri,ARDBU
STTS,Short-tailed Shearwater,Ardenna tenuirostris,ARDTE
SOSH,Sooty Shearwater,Ardenna grisea,ARDGR
GRSH,Great Shearwater,Ardenna gravis,ARDGR
PFSH,Pink-footed Shearwater,Ardenna creatopus,ARDCR
FFSH,Flesh-footed Shearwater,Ardenna carneipes,ARDCA
CHSH,Christmas Shearwater,Puffinus nativitatis,PUFNA
GASH,Galapagos Shearwater,Puffinus subalaris,PUFSU
MASH,Manx Shearwater,Puffinus puffinus,PUFPU
TOSH,Townsend's Shearwater,Puffinus auricularis,PUFAU
NESH,Newell's Shearwater,Puffinus newelli,PUFNE
BRYS,Bryan's Shearwater,Puffinus bryani,PUFBR
BVSH,Black-vented Shearwater,Puffinus opisthomelas,PUFOP
SASH,Sargasso Shearwater,Puffinus lherminieri,PUFLH
BASH,Barolo Shearwater,Puffinus baroli,PUFBA
MAST,Maguari Stork,Ciconia maguari,JCICM
JABI,Jabiru,Jabiru mycteria,JABMY
WOST,Wood Stork,Mycteria americana,MYCAM
LEFR,Lesser Frigatebird,Fregata ariel,FREAR
MAFR,Magnificent Frigatebird,Fregata magnificens,FREMA
GREF,Great Frigatebird,Fregata minor,FREMI
MABO,Masked Booby,Sula dactylatra,SULDA
NABO,Nazca Booby,Sula granti,SULGR
BFBO,Blue-footed Booby,Sula nebouxii,SULNE
PEBO,Peruvian Booby,Sula variegata,SULVA
BRBO,Brown Booby,Sula leucogaster,SULLE
COBO,Cocos Booby,Sula brewsteri,SULBRE
RFBO,Red-footed Booby,Sula sula,SULSUL
NOGA,Northern Gannet,Morus bassanus,MORBAS
ANHI,Anhinga,Anhinga anhinga,ANHANH
BRAC,Brandt's Cormorant,Urile penicillatus,URIPEN
RFCO,Red-faced Cormorant,Urile urile,URIURI
PECO,Pelagic Cormorant,Urile pelagicus,URIPEL
GRCO,Great Cormorant,Phalacrocorax carbo,PHACAR
DCCO,Double-crested Cormorant,Nannopterum auritum,NANAUR
NECO,Neotropic Cormorant,Nannopterum brasilianum,NANBRA
AWPE,American White Pelican,Pelecanus erythrorhynchos,PELERY
BRPE,Brown Pelican,Pelecanus occidentalis,PELOCC
RTHE,Rufescent Tiger-Heron,Tigrisoma lineatum,TIGLIN
BTTH,Bare-throated Tiger-Heron,Tigrisoma mexicanum,TIGMEX
FTHE,Fasciated Tiger-Heron,Tigrisoma fasciatum,TIGFAS
BBHE,Boat-billed Heron,Cochlearius cochlearius,COCCOL,
AGHE,Agami Heron,Agamia agami,AGAAG
LEBI,Least Bittern,Botaurus exilis,BOTEX
AMBI,American Bittern,Botaurus lentiginosus,BOTLE
PIBI,Pinnated Bittern,Botaurus pinnatus,BOTPI
LIBI,Little Bittern,Botarus minutus,BOTMI
YEBI,Yellow Bittern,Botaurus sinensis,BOTSI
CAHE,Capped Heron,Pilherodius pileatus,PILPI
WHHE,Whistling Heron,Syrigma sibilatrix,SYRSI
LBHE,Little Blue Heron,Egretta caerulea,EGRCA
TRHE,Tricolored Heron,Egretta tricolor,EGRTR
REEG,Reddish Egret,Egretta rufescens,EGRRU
CHEG,Chinese Egret,Egretta eulophotes,EGREU
SNEG,Snowy Egret,Egretta thula,EGRTH
LIEG,Little Egret,Egretta garzetta,EGRGA
WERH,Western Reef-Heron,Egretta gularis,EGRGU
YCNH,Yellow-crowned Night Heron,Nyctanassa violacea,NYCVI
BCNH,Black-crowned Night Heron,Nycticorax nycticorax,NYCNY
STRH,Striated Heron,Butorides striata,BUTST
GRHE,Green Heron,Butorides virescens,BUTVI
CHPH,Chinese Pond-Heron,Ardeola bacchus,ARDBA
GREG,Great Egret,Ardea alba,ARDAL
MEEG,Medium Egret,Ardea intermedia,ARDIN
WECE,Western Cattle-Egret,Ardea ibis,ARDIB
EACE,Eastern Cattle-Egret,Ardea coromanda,ARDCO
GRAH,Gray Heron,Ardea cinerea,ARDCI
GBHE,Great Blue Heron,Ardea herodias,ARDHE
GWHE,Great White Heron,Ardea herodias occidentalis,ARDHO
COHE,Cocoi Heron,Ardea cocoi,ARDCO
PUHE,Purple Heron,Ardea purpurea,ARDPU
WHIB,White Ibis,Eudocimus albus,EUDAL
SCIB,Scarlet Ibis,Eudocimus ruber,EUDRU
GLIB,Glossy Ibis,Plegadis falcinellus,PLEFA
WFIB,White-faced Ibis,Plegadis chihi,PLECHI
GRIB,Green Ibis,Mesembrinibis cayennensis,MESCAY
BNIB,Buff-necked Ibis,Theristicus caudatus,THECAU
EURS,Eurasian Spoonbill,Platalea leucorodia,PLALEU
ROSP,Roseate Spoonbill,Platalea ajaja,PLAAJA
CACO,California Condor,Gymnogyps californianus,GYMCAL
KIVU,King Vulture,Sarcoramphus papa,SARPAP
BLVU,Black Vulture,Coragyps atratus,CORATR
TUVU,Turkey Vulture,Cathartes aura,CAEAUR,
LYHV,Lesser Yellow-headed Vulture,Cathartes burrovianus,CATBUR
OSPR,Osprey,Pandion haliaetus,PANHAL
PEKI,Pearl Kite,Gampsonyx swainsonii,GAMSWA
WTKI,White-tailed Kite,Elanus leucurus,ELALEU
HBKI,Hook-billed Kite,Chondrohierax uncinatus,CHOUNC
CUKI,Cuban Kite,Chondrohierax wilsonii,CHOWIL
GHKI,Gray-headed Kite,Leptodon cayanensis,LEPCAY
STKI,Swallow-tailed Kite,Elanoides forficatus,ELAFO
CREA,Crested Eagle,Morphnus guianensis,MORGU
HAEA,Harpy Eagle,Harpia harpyja,HARHA
GOEA,Golden Eagle,Aquila chrysaetos,AQUCH
BLHE,Black Hawk-Eagle,Spizaetus tyrannus,SPITY
BAWH,Black-and-white Hawk-Eagle,Spizaetus melanoleucus,SPIME
ORHE,Ornate Hawk-Eagle,Spizaetus ornatus,SPIOR
DTKI,Double-toothed Kite,Harpagus bidentatus,HARBI
TIHA,Tiny Hawk,Microspizias superciliosus,MICSU
NOHA,Northern Harrier,Circus hudsonius,CIRHU
LWHA,Long-winged Harrier,Circus buffoni,CIRBU
WMHA,Western Marsh Harrier,Circus aeruginosus,CIRAE
GBEH,Gray-bellied Hawk,Accipiter poliogaster,ACCPO
CHIS,Chinese Sparrowhawk,Accipiter soloensis,ACCSO
SSHA,Sharp-shinned Hawk,Accipiter striatus,ACCST
PSSH,Puerto Rican Sharp-shinned Hawk,Accipiter striatus venator,ACCST
COHA,Cooper's Hawk,Accipiter cooperii,ACCCO
GUHA,Gundlach's Hawk,Accipiter gundlachi,ACCGU
BIHA,Bicolored Hawk,Accipiter bicolor,ACCBI
EGOS,Eurasian Goshawk,Accipiter gentilis,ACCGE
AGOS,American Goshawk,Accipiter atricapillus,ACCAT
UAHA,Unidentified Accipiter Hawk,Accipiter (sp),ACCSP
BLAK,Black Kite,Milvus migrans,MILMI
BAEA,Bald Eagle,Haliaeetus leucocephalus,HALLE
WTEA,White-tailed Eagle,Haliaeetus albicilla,HALAL
STSE,Steller's Sea-Eagle,Haliaeetus pelagicus,HALPE
MIKI,Mississippi Kite,Ictinia mississippiensis,ICTMI
PLKI,Plumbeous Kite,Ictinia plumbea,ICTPL
BCHA,Black-collared Hawk,Busarellus nigricollis,BUSNI
CRHA,Crane Hawk,Geranospiza caerulescens,GERCA
SNKI,Snail Kite,Rostrhamus sociabilis,ROSSO
SBKI,Slender-billed Kite,Helicolestes hamatus,HELHA
PLHA,Plumbeous Hawk,Cryptoleucopteryx plumbea,CRYPLU
COBH,Common Black Hawk,Buteogallus anthracinus,BUTANT
CUBH,Cuban Black Hawk,Buteogallus gundlachii,BUTGUN
